release_date,movie,production_budget,domestic_gross,worldwide_gross
2019/04/23,Avengers: Endgame,"$400,000,000","$858,373,000","$2,797,800,564"
2011/05/20,Pirates of the Caribbean: On Stranger Tides,"$379,000,000","$241,071,802","$1,045,713,802"
2015/04/22,Avengers: Age of Ultron,"$365,000,000","$459,005,868","$1,395,316,979"
2015/12/16,Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,064,615,817"
2018/04/25,Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,359,754"
2007/05/24,Pirates of the Caribbean: At Worldâs End,"$300,000,000","$309,420,425","$960,996,492"
2017/11/13,Justice League,"$300,000,000","$229,024,295","$655,945,209"
2015/10/06,Spectre,"$300,000,000","$200,074,175","$879,500,760"
2023/07/14,Mission: Impossible 7,"$290,000,000",$0,$0
2019/12/18,Star Wars: The Rise of Skywalker,"$275,000,000","$515,202,542","$1,072,848,487"
2018/05/23,Solo: A Star Wars Story,"$275,000,000","$213,767,512","$393,151,347"
2012/03/07,John Carter,"$263,700,000","$73,058,679","$282,778,100"
2016/03/23,Batman v Superman: Dawn of Justice,"$263,000,000","$330,360,194","$872,395,091"
2017/12/13,Star Wars Ep. VIII: The Last Jedi,"$262,000,000","$620,181,382","$1,331,635,141"
2019/07/11,The Lion King,"$260,000,000","$543,638,043","$1,654,367,425"
2010/11/24,Tangled,"$260,000,000","$200,821,936","$584,899,819"
2007/05/04,Spider-Man 3,"$258,000,000","$336,530,303","$894,860,230"
2016/04/22,Captain America: Civil War,"$250,000,000","$408,084,349","$1,151,918,521"
2009/07/15,Harry Potter and the Half-Blood Prince,"$250,000,000","$302,089,278","$929,411,069"
2013/12/12,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,241,522","$959,358,436"
2014/12/10,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$940,389,558"
2017/04/07,The Fate of the Furious,"$250,000,000","$225,764,765","$1,236,703,796"
2021/09/29,No Time to Die,"$250,000,000","$160,891,007","$762,016,233"
2009/12/17,Avatar,"$237,000,000","$760,507,625","$2,845,899,541"
2006/06/28,Superman Returns,"$232,000,000","$200,120,000","$391,081,192"
2012/07/19,The Dark Knight Rises,"$230,000,000","$448,139,099","$1,082,228,107"
2017/05/23,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$794,861,794"
2008/11/14,Quantum of Solace,"$230,000,000","$169,368,427","$591,692,078"
2012/04/25,The Avengers,"$225,000,000","$623,357,910","$1,515,100,211"
2006/07/06,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000","$423,315,812","$1,066,179,725"
2013/06/14,Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
2008/05/16,The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288"
2013/07/02,The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115"
2012/06/27,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267"
2012/04/11,Battleship,"$220,000,000","$65,233,400","$313,477,717"
2017/06/20,Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340"
2015/06/09,Jurassic World,"$215,000,000","$652,306,625","$1,669,979,967"
2012/05/23,Men in Black 3,"$215,000,000","$179,020,854","$654,213,485"
2009/06/24,Transformers: Revenge of the Fallen,"$210,000,000","$402,111,870","$836,519,699"
2014/06/25,Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,054,072"
2006/05/26,X-Men: The Last Stand,"$210,000,000","$234,362,462","$459,260,946"
2010/05/14,Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
2005/12/14,King Kong,"$207,000,000","$218,080,025","$550,517,357"
2007/12/07,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558"
2020/08/26,Tenet,"$205,000,000","$58,504,105","$362,450,957"
2021/12/14,Spider-Man: No Way Home,"$200,000,000","$804,405,733","$1,889,760,788"
2018/02/13,Black Panther,"$200,000,000","$700,059,566","$1,336,494,321"
1997/12/18,Titanic,"$200,000,000","$659,363,944","$2,207,986,545"
2018/06/15,Incredibles 2,"$200,000,000","$608,581,744","$1,242,805,359"
2016/12/14,Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,055,135,598"
2016/06/16,Finding Dory,"$200,000,000","$486,295,561","$1,025,006,125"
2019/06/20,Toy Story 4,"$200,000,000","$434,038,008","$1,073,080,329"
2010/06/18,Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
2013/04/24,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
2017/04/28,Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$869,113,101"
2004/06/30,Spider-Man 2,"$200,000,000","$373,524,485","$794,697,557"
2022/03/01,The Batman,"$200,000,000","$367,888,606","$758,209,449"
2010/03/04,Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110"
2012/10/26,Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
2012/12/11,The Hobbit: An Unexpected Journey,"$200,000,000","$303,003,568","$1,014,938,545"
2013/06/21,Monsters University,"$200,000,000","$268,488,329","$743,455,810"
2013/03/08,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
2014/05/21,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
2014/04/16,The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
2011/06/23,Cars 2,"$200,000,000","$191,450,875","$560,155,383"
2021/07/07,Black Widow,"$200,000,000","$183,651,655","$379,751,655"
2019/07/31,Fast & Furious Presents: Hobbs & Shaw,"$200,000,000","$173,956,935","$760,381,706"
2021/05/20,F9: The Fast Saga,"$200,000,000","$173,005,945","$721,077,945"
2010/12/17,Tron: Legacy,"$200,000,000","$172,062,763","$399,866,199"
2009/11/12,2012,"$200,000,000","$166,112,167","$757,677,748"
2021/11/03,Eternals,"$200,000,000","$164,870,264","$402,064,929"
2018/11/14,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$651,280,475"
2009/05/21,Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792"
2021/07/28,Jungle Cruise,"$200,000,000","$116,987,516","$210,384,144"
2011/06/17,Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
2010/05/28,Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676"
2022/04/06,Fantastic Beasts: The Secrets of Dumbledore,"$200,000,000","$69,422,620","$282,370,277"
2019/06/05,Dark Phoenix,"$200,000,000","$65,845,974","$246,356,895"
2020/02/28,Onward,"$200,000,000","$61,555,145","$133,317,030"
2020/12/16,Wonder Woman 1984,"$200,000,000","$46,801,036","$166,360,232"
2020/09/04,Mulan,"$200,000,000",$0,"$69,965,374"
2021/07/02,The Tomorrow War,"$200,000,000",$0,"$19,220,000"
Unknown,The Gray Man,"$200,000,000",$0,$0
2011/06/29,Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,794,079"
2017/06/02,The Mummy,"$195,000,000","$80,101,125","$409,953,905"
2013/02/27,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603"
2015/04/01,Furious 7,"$190,000,000","$353,007,020","$1,516,881,526"
2013/05/16,Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
2013/06/19,World War Z,"$190,000,000","$202,706,711","$531,861,650"
2013/05/10,The Great Gatsby,"$190,000,000","$144,840,419","$353,640,419"
2009/11/06,Disneyâs A Christmas Carol,"$190,000,000","$137,855,863","$315,709,697"
